#INTERVAL_START,INTERVAL_END,ANIMAL,BICYCLE,BUS,CAR,CAR_TRAILER,CARAVAN,E_CART,HEAD,HEAVY,LIGHT,MOTORCYCLE,OBSTACLE,PEDESTRIAN,PRAM,SCOOTER,SKATE,TRACTOR,TRAM,TRUCK_TRAILER,TUK_TUK,UNKNOWN,VAN,WHEELCHAIR
2024-10-17T20:55:00+02:00,2024-10-17T21:00:00+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T21:05:00+02:00,2024-10-17T21:10:00+02:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T21:10:00+02:00,2024-10-17T21:15:00+02:00,0,0,1,14,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17T21:15:00+02:00,2024-10-17T21:20:00+02:00,0,0,3,32,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17T21:20:00+02:00,2024-10-17T21:25:00+02:00,0,0,2,38,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17T21:25:00+02:00,2024-10-17T21:30:00+02:00,0,0,1,37,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T21:30:00+02:00,2024-10-17T21:35:00+02:00,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T21:35:00+02:00,2024-10-17T21:40:00+02:00,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T21:40:00+02:00,2024-10-17T21:45:00+02:00,0,0,0,23,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17T21:45:00+02:00,2024-10-17T21:50:00+02:00,0,0,1,37,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T21:50:00+02:00,2024-10-17T21:55:00+02:00,0,0,0,32,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2024-10-17T21:55:00+02:00,2024-10-17T22:00:00+02:00,0,0,0,23,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17T22:00:00+02:00,2024-10-17T22:05:00+02:00,0,0,1,39,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T22:05:00+02:00,2024-10-17T22:10:00+02:00,0,0,0,51,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2024-10-17T22:10:00+02:00,2024-10-17T22:15:00+02:00,0,0,1,38,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17T22:15:00+02:00,2024-10-17T22:20:00+02:00,0,0,2,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T22:20:00+02:00,2024-10-17T22:25:00+02:00,0,0,1,19,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0
2024-10-17T22:25:00+02:00,2024-10-17T22:30:00+02:00,0,0,0,17,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2024-10-17T22:30:00+02:00,2024-10-17T22:35:00+02:00,0,0,0,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
