#INTERVAL_START,INTERVAL_END,ANIMAL,BICYCLE,BUS,CAR,CAR_TRAILER,CARAVAN,E_CART,HEAD,HEAVY,LIGHT,MOTORCYCLE,OBSTACLE,PEDESTRIAN,PRAM,SCOOTER,SKATE,TRACTOR,TRAM,TRUCK_TRAILER,TUK_TUK,UNKNOWN,VAN,WHEELCHAIR
2026-01-22T14:45:00+01:00,2026-01-22T14:50:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-01-22T14:50:00+01:00,2026-01-22T14:55:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2026-01-22T14:55:00+01:00,2026-01-22T15:00:00+01:00,0,1,0,3,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0
2026-01-22T15:00:00+01:00,2026-01-22T15:05:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,1,0
2026-01-22T15:05:00+01:00,2026-01-22T15:10:00+01:00,0,0,0,2,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2026-01-22T15:10:00+01:00,2026-01-22T15:15:00+01:00,0,0,1,3,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2026-01-22T15:15:00+01:00,2026-01-22T15:20:00+01:00,0,0,0,5,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2026-01-22T15:20:00+01:00,2026-01-22T15:25:00+01:00,0,1,0,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2026-01-22T15:25:00+01:00,2026-01-22T15:30:00+01:00,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-01-22T15:30:00+01:00,2026-01-22T15:35:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
2026-01-22T15:35:00+01:00,2026-01-22T15:40:00+01:00,0,1,0,1,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0
2026-01-22T15:40:00+01:00,2026-01-22T15:45:00+01:00,0,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-01-22T15:45:00+01:00,2026-01-22T15:50:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0
2026-01-22T15:50:00+01:00,2026-01-22T15:55:00+01:00,0,1,0,1,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0,0
2026-01-22T15:55:00+01:00,2026-01-22T16:00:00+01:00,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:00:00+01:00,2026-01-22T16:05:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,1
2026-01-22T16:05:00+01:00,2026-01-22T16:10:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:10:00+01:00,2026-01-22T16:15:00+01:00,0,1,0,2,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0
2026-01-22T16:15:00+01:00,2026-01-22T16:20:00+01:00,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:20:00+01:00,2026-01-22T16:25:00+01:00,0,1,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:25:00+01:00,2026-01-22T16:30:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:30:00+01:00,2026-01-22T16:35:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:35:00+01:00,2026-01-22T16:40:00+01:00,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:40:00+01:00,2026-01-22T16:45:00+01:00,0,0,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:45:00+01:00,2026-01-22T16:50:00+01:00,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
2026-01-22T16:50:00+01:00,2026-01-22T16:55:00+01:00,0,1,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0
2026-01-22T16:55:00+01:00,2026-01-22T17:00:00+01:00,0,0,0,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:00:00+01:00,2026-01-22T17:05:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:05:00+01:00,2026-01-22T17:10:00+01:00,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0
2026-01-22T17:10:00+01:00,2026-01-22T17:15:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:15:00+01:00,2026-01-22T17:20:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:20:00+01:00,2026-01-22T17:25:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:25:00+01:00,2026-01-22T17:30:00+01:00,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:30:00+01:00,2026-01-22T17:35:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:35:00+01:00,2026-01-22T17:40:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:40:00+01:00,2026-01-22T17:45:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:45:00+01:00,2026-01-22T17:50:00+01:00,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:50:00+01:00,2026-01-22T17:55:00+01:00,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-01-22T17:55:00+01:00,2026-01-22T18:00:00+01:00,0,0,1,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2026-01-22T18:00:00+01:00,2026-01-22T18:05:00+01:00,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-01-22T18:05:00+01:00,2026-01-22T18:10:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
2026-01-22T18:10:00+01:00,2026-01-22T18:15:00+01:00,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
